State,Year,Data.Population,Data.Rates.Property.All,Data.Rates.Property.Burglary,Data.Rates.Property.Larceny,Data.Rates.Property.Motor,Data.Rates.Violent.All,Data.Rates.Violent.Assault,Data.Rates.Violent.Murder,Data.Rates.Violent.Rape,Data.Rates.Violent.Robbery,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery,avg_fiscal_income_p0p100,population_p0p100,nb_tax_returns_p0p100,share_fiscal_income_p0p100,share_fiscal_income_p0p90,share_fiscal_income_p0p99,share_fiscal_income_p90p100,share_fiscal_income_p90p95,share_fiscal_income_p95p100,share_fiscal_income_p95p99,share_fiscal_income_p99.5p100,share_fiscal_income_p99.5p99.9,share_fiscal_income_p99.99p100,share_fiscal_income_p99.9p100,share_fiscal_income_p99.9p99.99,share_fiscal_income_p99p100,share_fiscal_income_p99p99.5,share_pretax_income_p0p100,avg_fiscal_income_p0p90,avg_fiscal_income_p0p99,avg_fiscal_income_p90p100,avg_fiscal_income_p90p95,avg_fiscal_income_p95p100,avg_fiscal_income_p95p99,avg_fiscal_income_p99.5p100,avg_fiscal_income_p99.5p99.9,avg_fiscal_income_p99.99p100,avg_fiscal_income_p99.9p100,avg_fiscal_income_p99.9p99.99,avg_fiscal_income_p99p100,avg_fiscal_income_p99p99.5,share_pretax_income_p0p90,share_pretax_income_p0p99,share_pretax_income_p90p100,share_pretax_income_p90p95,share_pretax_income_p95p100,share_pretax_income_p95p99,share_pretax_income_p99.5p100,share_pretax_income_p99.5p99.9,share_pretax_income_p99.99p100,share_pretax_income_p99.9p100,share_pretax_income_p99.9p99.99,share_pretax_income_p99p100,share_pretax_income_p99p99.5,total_fiscal_income_p0p100,nb_police_shootings,nb_unarmed,nb_gun,nb_body_camera,imm_population,lpr_total,nonimm_total,refugees_total,gdp,wic_2015,nslp_2015,sbp_2015,spending_education,spending_welfare,spending_health,spending_police,spending_corrections
Alabama,1960,3266740,1035.4,355.9,592.1,87.3,186.6,138.1,12.4,8.6,27.5,33823,11626,19344,2853,6097,4512,406,281,898,167871.2,1145182,824701,1,0.6471,0.9023,0.3529,0.1184,0.2345,0.1368,0.0685,0.0406,0.008,0.0278,0.0199,0.0977,0.0292,1,20640.1,26161.4,101304.4,67978.40000000001,134630.2,98141.4,393309.6,291293.5,2299690.9,799151.9,633919.8,280591.5,167871.2,0.6471,0.9023,0.3529,0.1184,0.2345,0.1368,0.0685,0.0406,0.008,0.0278,0.0199,0.0977,0.0292,32873240607,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1961,3302000,985.5,339.3,569.4,76.8,168.5,128.9,12.9,7.6,19.1,32541,11205,18801,2535,5564,4255,427,252,630,166449.2,1164785,825932,1,0.65,0.908,0.35,0.1204,0.2296,0.1377,0.0633,0.0371,0.0077,0.0262,0.0185,0.092,0.0286,1,20983.5,26648.7,101688.4,69951.8,133427.2,99991.6,367932.3,269685.1,2229644.8,760362.9,597578.3,267188.4,166449.2,0.65,0.908,0.35,0.1204,0.2296,0.1377,0.0633,0.0371,0.0077,0.0262,0.0185,0.092,0.0286,33841821270,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1962,3358000,1067,349.1,634.5,83.4,157.3,119,9.4,6.5,22.5,35829,11722,21306,2801,5283,3995,316,218,754,167002.8,1183255,839198,1,0.6418,0.9058,0.3582,0.1235,0.2348,0.1406,0.0656,0.0385,0.0075,0.0271,0.0196,0.0942,0.0286,1,20815.5,26708.2,104567.3,72075.3,137059.9,102592.5,382851.4,280611,2194437.6,790035.8,635711.7000000001,274928.7,167002.8,0.6418,0.9058,0.3582,0.1235,0.2348,0.1406,0.0656,0.0385,0.0075,0.0271,0.0196,0.0942,0.0286,34539727078,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1963,3347000,1150.9,376.9,683.4,90.6,182.7,142.1,10.2,5.7,24.7,38521,12614,22874,3033,6115,4755,340,192,828,179075.3,1200790,859676,1,0.6379,0.9007,0.3621,0.1232,0.2389,0.1395,0.07,0.0415,0.0085,0.0284,0.0199,0.0993,0.0294,1,21587.9,27710,110304,75080.40000000001,145528.1,106258.3,426139,315830.6,2601770.9,865997.8,673997.9,302607.4,179075.3,0.6379,0.9007000000000001,0.3621,0.1232,0.2389,0.1395,0.07,0.0415,0.0085,0.0284,0.0199,0.0993,0.0294,36574788699,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1964,3407000,1358.7,466.6,784.1,108,213.1,163,9.3,11.7,29.1,46290,15898,26713,3679,7260,5555,316,397,992,212605.2,1217927,893421,1,0.6361,0.8993,0.364,0.1233,0.2406,0.1399,0.068,0.0406,0.0073,0.0274,0.0201,0.1007,0.0326,1,23039.3,29611.2,118647.8,80413.70000000001,156847.9,114038,443650.2,331047.5,2376273.5,893517.8,728226,328280.1,212605.2,0.6361,0.8993,0.364,0.1233,0.2406,0.1399,0.068,0.0406,0.0073,0.0274,0.0201,0.1007,0.0326,39701811421,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1965,3462000,1392.7,473.7,812.1,106.9,199.8,149.1,11.4,10.6,28.7,48215,16398,28115,3702,6916,5162,395,367,992,209646,1233549,944652,1,0.6332,0.8965,0.3669,0.125,0.2419,0.1384,0.073,0.0429,0.0145,0.0301,0.0156,0.1035,0.0305,1,24177.2,31120.5,126075.8,85910,166230.5,118867.7,501619.1,368272.1,4969256.4,1033854.2,597541.9,355639.2,209646,0.6332,0.8965000000000001,0.3669,0.125,0.2419,0.1384,0.073,0.0429,0.0145,0.0301,0.0156,0.1035,0.0305,42391750707,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1966,3517000,1528,527.5,869.6,131,230.3,177.7,10.9,9.7,32,53740,18551,30583,4606,8098,6249,384,341,1124,211686.3,1248134,972651,1,0.6326,0.8979,0.367,0.1267,0.2407,0.1386,0.0721,0.0401,0.012,0.032,0.02,0.1021,0.0299,1,24842.6,32055.6,129723.2,89581.90000000001,170132.1,122480.3,509933.6,353983.9,4258577.2,1132138,784784.6000000001,360822.2,211686.3,0.6326,0.8979,0.367,0.1267,0.2407,0.1386,0.0721,0.0401,0.012,0.032,0.02,0.1021,0.0299,44113086999,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1967,3540000,1612.4,571.4,895,146,238.6,183.5,11.7,10.5,33,57079,20227,31682,5170,8448,6495,415,371,1167,198605.6,1262006,984745,1,0.6405,0.9003,0.3593,0.121,0.2384,0.1388,0.0722,0.0412,0.0105,0.031,0.0206,0.0997,0.0274,1,25762.4,32920,130071.6,87622.1,172596.9,125586.5,523057.7,372853.6,3799219.1,1123719.6,826852.1000000001,360842.2,198605.6,0.6405000000000001,0.9003,0.3593,0.121,0.2384,0.1388,0.0722,0.0412,0.0105,0.031,0.0206,0.0997,0.0274,45683621800,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1968,3566000,1766.6,628.2,967.7,170.7,232.4,168.5,11.8,11.1,41,62997,22403,34508,6086,8288,6009,421,396,1462,224154.6,1274831,1021302,1,0.6395,0.8971,0.3605,0.1185,0.2419,0.1389,0.0732,0.0415,0.0102,0.0317,0.0216,0.1029,0.0298,1,26747.9,34110,135701.1,89253.20000000001,182111.4,130741.3,550823.3,390187.4,3840267,1194228,903537.5,387516.9,224154.6,0.6395000000000001,0.8971,0.3605,0.1185,0.2419,0.1389,0.0732,0.0415,0.0102,0.0317,0.0216,0.1029,0.0298,47989867547,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
Alabama,1969,3531000,1876.2,667.2,1037.8,171.2,250.4,181.7,13.7,14,41,66248,23559,36644,6045,8842,6415,485,494,1448,219541.9,1287462,1054293,1,0.6517,0.9047,0.3482,0.1176,0.2306,0.1353,0.0668,0.038,0.0091,0.0288,0.0197,0.0953,0.0285,1,27884,35188.7,134079.5,90573.2,177608.1,130274.8,514749.9,366117.3,3507194.1,1108047.5,844139.3,367107.1,219541.9,0.6517000000000001,0.9047,0.3482,0.1176,0.2306,0.1353,0.0668,0.038,0.0091,0.0288,0.0197,0.0953,0.0285,49577379425,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254,NA,NA,NA,NA,NA
