State,Year,Data.Rates.Violent.All,Data.Rates.Property.All,Data.Totals.Violent.All,Data.Totals.Property.All,Data.Population,gdp,Consumption,share_pretax_income_p90p100,nb_police_shootings,nb_unarmed,nb_gun,nb_body_camera,unemployment_rate,imm_population,refugees_total,nonimm_total,lpr_total,spending_corrections,spending_education,spending_welfare,spending_health,spending_police,wic_2015,nslp_2015,sbp_2015
Alabama,1998,512.1,4085,22286,177779,4352000,110838.8,18235,0.4227,NA,NA,NA,NA,4.458333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,1999,490.2,3922.3,21421,171398,4369862,116514.3,19157,0.4253,NA,NA,NA,NA,4.733333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2000,486.2,4059.7,21620,180539,4447100,120522.6,20158,0.4182,NA,NA,NA,NA,4.641666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2001,438.2,3876.8,19582,173253,4468912,123534.5,20868,0.4184,NA,NA,NA,NA,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2002,445,4027.8,19931,180400,4478896,128380.9,21700,0.4235,NA,NA,NA,NA,5.891666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2003,429.2,4046.4,19331,182241,4503726,135212.6,22673,0.4298,NA,NA,NA,NA,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2004,427,4029.3,19324,182340,4525375,148379.1,23932,0.4331,NA,NA,NA,NA,5.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2005,433,3900,19678,177393,4548327,158677.3,25303,0.454,NA,NA,NA,NA,4.458333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2006,425.2,3941,19553,181249,4599030,166048.2,26245,0.4815,NA,NA,NA,NA,4.008333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2007,448.9,3977.7,20775,184082,4627851,172247,27160,0.4731,NA,NA,NA,NA,4.066666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2008,452.8,4084.5,21110,190416,4661900,174665.6,27555,0.4656,NA,NA,NA,NA,5.916666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2009,450.1,3780.4,21194,178007,4708708,170876.5,26958,0.4474,NA,NA,NA,NA,9.733333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2010,383.7,3528,18363,168828,4785401,177510.7,27634,0.4641,NA,NA,NA,NA,10.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2011,419.8,3605.4,20166,173192,4803689,182896.7,28420,0.463,NA,NA,NA,NA,9.558333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2012,449.9,3502.2,21693,168878,4822023,188280.7,28916,0.467,NA,NA,NA,NA,8.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,531,254
Alabama,2013,430.8,3351.3,20826,161993,4833722,193981.5,29589,0.4362,NA,NA,NA,NA,7.358333333333333,4830081,130,126750,3850,NA,NA,NA,NA,NA,132,531,254
Alabama,2014,427.4,3177.6,20727,154094,4849377,197064.4,30359,0.4597,NA,NA,NA,NA,6.766666666666667,4841799,110,141340,3690,NA,NA,NA,NA,NA,132,531,254
Alabama,2015,472.4,2978.9,22952,144746,4858979,203113.3,31123,0.4616,17,1,12,3,6.083333333333333,4852347,110,151470,3930,NA,NA,NA,NA,NA,132,531,254
Alabama,2016,532.3,2947.8,25886,143362,4863300,208824.3,31999,0.4791,24,0,15,8,5.8,4863525,120,152740,4740,NA,NA,NA,NA,NA,132,531,254
Alabama,2017,524.2,2957.3,25551,144160,4874747,216615.5,33014,0.4772,25,2,13,1,4.508333333333333,4874486,60,158220,3800,734305,14017829,7001467,901253,1283440,132,531,254
Alabama,2018,519.6,2817.2,25399,137700,4887871,226263.8,34048,0.4756,13,0,9,1,3.925,4887681,30,178590,3740,764942,14660310,6759023,883568,1303635,132,531,254
Alaska,1998,653.9,4123.1,4015,25316,614000,24387.8,24110,0.3426,NA,NA,NA,NA,6.316666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,53,25
Alaska,1999,630.8,3728.7,3908,23099,619500,24920.4,25423,0.3359,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,53,25
Alaska,2000,566.9,3682.5,3554,23087,626932,26934,27243,0.3443,NA,NA,NA,NA,6.291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,53,25
