"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","United States","Annual Survey of State and Local Finance","LF0001","Revenue - Total Revenue","001","State and Local","4,843,216,642","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0002","Revenue - Total General Revenue","001","State and Local","4,622,612,091","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0003","Revenue - General Revenue - Total Intergovernmental","001","State and Local","1,235,361,721","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0004","Revenue - General Revenue - Intergovernmental - From Federal Government","001","State and Local","1,235,361,721","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0007","Revenue - General Revenue - Total From Own Sources","001","State and Local","3,387,250,370","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0008","Revenue - General Revenue - From Own Sources - Total Taxes","001","State and Local","2,360,676,353","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0009","Revenue - General Revenue - From Own Sources - Taxes - Property","001","State and Local","682,106,673","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0010","Revenue - General Revenue - From Own Sources - Taxes - Total Sales & Gross Receipts","001","State and Local","841,361,351","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0011","Revenue - General Revenue - From Own Sources - Taxes - General Sales","001","State and Local","594,167,200","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0012","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Total Selective Sales","001","State and Local","247,194,151","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0013","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Amusement","001","State and Local","11,767,141","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0014","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Insurance Premiums","001","State and Local","33,715,834","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0015","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Motor Fuels","001","State and Local","57,203,745","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0016","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Alcoholic Beverages","001","State and Local","9,253,486","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0017","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Tobacco Products","001","State and Local","17,365,438","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0018","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Pari-mutuels","001","State and Local","51,005","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0019","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Public Utilities Sales","001","State and Local","30,208,516","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0020","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Other","001","State and Local","87,628,988","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0021","Revenue - General Revenue - From Own Sources - Taxes - Total Income Taxes","001","State and Local","669,512,456","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0022","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Individual","001","State and Local","516,135,442","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0023","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Corporate","001","State and Local","153,377,014","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0024","Revenue - General Revenue - From Own Sources - Taxes - Alcoholic Beverages License","001","State and Local","1,069,554","1.60"
"2023","United States","Annual Survey of State and Local Finance","LF0025","Revenue - General Revenue - From Own Sources - Taxes - Amusement License","001","State and Local","887,769","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0026","Revenue - General Revenue - From Own Sources - Taxes - Corporation General License","001","State and Local","9,112,186","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0027","Revenue - General Revenue - From Own Sources - Taxes - Hunting and Fishing License","001","State and Local","1,924,024","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0028","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle License","001","State and Local","35,946,808","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0029","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle Operator License","001","State and Local","3,090,221","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0030","Revenue - General Revenue - From Own Sources - Taxes - Public Utility License","001","State and Local","1,681,933","0.80"
"2023","United States","Annual Survey of State and Local Finance","LF0031","Revenue - General Revenue - From Own Sources - Taxes - Occupation & Business License, NEC","001","State and Local","27,429,924","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0032","Revenue - General Revenue - From Own Sources - Taxes - Other License","001","State and Local","16,799,234","1.40"
"2023","United States","Annual Survey of State and Local Finance","LF0033","Revenue - General Revenue - From Own Sources - Total Other Taxes","001","State and Local","69,754,220","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0034","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Death and Gift Taxes","001","State and Local","8,310,568","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0035","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Documentary & Stock Transfer","001","State and Local","21,975,206","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0036","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Severance Taxes","001","State and Local","26,715,897","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0037","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Taxes NEC","001","State and Local","12,752,549","1.20"
"2023","United States","Annual Survey of State and Local Finance","LF0039","Revenue - General Revenue - From Own Sources - Total Current Charges & Miscellaneous Revenue","001","State and Local","1,026,574,017","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0040","Revenue - General Revenue - From Own Sources - Total Current Charges","001","State and Local","687,705,627","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0041","Revenue - General Revenue - From Own Sources - Current Charges - Total Education","001","State and Local","149,837,434","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0042","Revenue - General Revenue - From Own Sources - Current Charges - Education- Institutes of Higher Education","001","State and Local","133,341,826","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0043","Revenue - General Revenue - From Own Sources - Current Charges - Education - School Lunch Sales (Gross)","001","State and Local","4,817,354","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0044","Revenue - General Revenue - From Own Sources - Current Charges - Education - Elementary & Secondary School Tuition","001","State and Local","1,653,393","3.00"
"2023","United States","Annual Survey of State and Local Finance","LF0045","Revenue - General Revenue - From Own Sources - Current Charges - Education - Other Elementary and Secondary Education","001","State and Local","10,024,862","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0046","Revenue - General Revenue - From Own Sources - Current Charges - Hospital","001","State and Local","240,232,147","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0047","Revenue - General Revenue - From Own Sources - Current Charges - Highways","001","State and Local","25,236,887","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0048","Revenue - General Revenue - From Own Sources - Current Charges - Air Transportation (Airport)","001","State and Local","29,363,753","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0049","Revenue - General Revenue - From Own Sources - Current Charges - Parking Facilities","001","State and Local","3,575,122","1.10"
"2023","United States","Annual Survey of State and Local Finance","LF0050","Revenue - General Revenue - From Own Sources - Current Charges - Sea and Inland Port Facilities","001","State and Local","8,493,309","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0051","Revenue - General Revenue - From Own Sources - Current Charges - Natural Resources","001","State and Local","6,973,225","2.00"
